address;region;city;okato;oktmo;timezone;geo_lat;geo_lon;population;foundation_year
Респ Башкортостан, г. Мелеуз;3;Мелеуз;80425000000;80641101;UTC+5;52.9589532;55.9282838;61408;1766
Респ Башкортостан, г. Нефтекамск;3;Нефтекамск;80427000000;80727000001;UTC+5;56.088377;54.2483061;121757;1957
Респ Башкортостан, г. Октябрьский;3;Октябрьский;80435000000;80735000001;UTC+5;54.4815311;53.4655972;109379;1937
Респ Башкортостан, г. Салават;3;Салават;80439000000;80739000001;UTC+5;53.3616974;55.9245224;156085;1948
Респ Башкортостан, г. Сибай;3;Сибай;80443000000;80743000001;UTC+5;52.7204651;58.6663783;62732;1925
Респ Башкортостан, г. Стерлитамак;3;Стерлитамак;80445000000;80745000;UTC+5;53.6300864;55.9317089;273432;1766
Респ Башкортостан, г. Туймазы;3;Туймазы;80450000000;80651101;UTC+5;54.5999224;53.6950623;66849;1912
г. Уфа;3;Уфа;80401000000;80701000;UTC+5;54.734944;55.9578468;1062300;1574
Респ Башкортостан, г. Учалы;3;Учалы;80455000000;80653101;UTC+5;54.3067375;59.4125461;37771;сер. XVIII века
Респ Башкортостан, г. Янаул;3;Янаул;80460000000;80659101;UTC+5;56.2650146;54.929907;26988;1730-е
Белгородская обл, г. Алексеевка;35;Алексеевка;14410000000;14710000001;UTC+3;50.6299647;38.6880342;39026;1685
г. Белгород;35;Белгород;14401000000;14701000;UTC+3;50.5976472;36.5856652;356426;1596
Белгородская обл, г. Бирюч;35;Бирюч;14242501000;14642151;UTC+3;50.6484585;38.4005083;7842;1705
Белгородская обл, г. Валуйки;35;Валуйки;14420000000;14720000001;UTC+3;50.2111207;38.0998772;35322;1593
Белгородская обл, г. Грайворон;35;Грайворон;14232501000;14725000001;UTC+3;50.4862958;35.6663877;6234;1678
Белгородская обл, г. Губкин;35;Губкин;14430000000;14730000001;UTC+3;51.2837123;37.5347759;88562;1939
Белгородская обл, г. Короча;35;Короча;14240501000;14640101;UTC+3;50.8129041;37.1896436;5877;1637
Белгородская обл, г. Новый Оскол;35;Новый Оскол;14244501000;14735000001;UTC+3;50.7633747;37.8775484;19530;1637
Белгородская обл, г. Старый Оскол;35;Старый Оскол;14440000000;14740000001;UTC+3;51.2967101;37.8350182;221163;1593
Белгородская обл, г. Строитель;35;Строитель;14258501000;14755000001;UTC+3;50.7845099;36.4887648;23933;1958
Белгородская обл, г. Шебекино;35;Шебекино;14450000000;14750000001;UTC+3;50.4004883;36.8877889;44277;1713
г. Брянск;36;Брянск;15401000000;15701000001;UTC+3;53.2419535;34.3652146;415640;985
Брянская обл, г. Дятьково;36;Дятьково;15216501000;15616104001;UTC+3;53.5958178;34.3551812;29438;1626
Брянская обл, г. Жуковка;36;Жуковка;15222501000;15622101001;UTC+3;53.5340397;33.7302579;18269;1871
Брянская обл, г. Злынка;36;Злынка;15223501000;15623101001;UTC+3;52.4267015;31.7360399;5507;1702
Брянская обл, г. Карачев;36;Карачев;15224501000;15624101001;UTC+3;53.1296524;34.9888727;19715;1146
Брянская обл, г. Клинцы;36;Клинцы;15415000000;15715000001;UTC+3;52.7529119;32.233911;62510;1707
Брянская обл, г. Мглин;36;Мглин;15236501000;15636101001;UTC+3;53.0599771;32.8468129;7916;1387
Брянская обл, г. Новозыбков;36;Новозыбков;15420000000;15720000001;UTC+3;52.537173;31.9357991;40552;1701
Брянская обл, г. Почеп;36;Почеп;15244501000;15644101001;UTC+3;52.9154851;33.4744058;17933;1447
Брянская обл, г. Севск;36;Севск;15248501000;15648101001;UTC+3;52.1483358;34.4918415;7282;1146
Брянская обл, г. Сельцо;36;Сельцо;15425000000;15725000001;UTC+3;53.3739884;34.1059172;17933;1870-е
Брянская обл, г. Стародуб;36;Стародуб;15250501000;15750000;UTC+3;52.5852257;32.760403;19010;1080
Брянская обл, г. Сураж;36;Сураж;15254501000;15654101001;UTC+3;53.0170888;32.3938878;11640;XVII век
Брянская обл, г. Трубчевск;36;Трубчевск;15256501000;15656101001;UTC+3;52.5791734;33.7660547;15014;975
Брянская обл, г. Унеча;36;Унеча;15258501000;15658101001;UTC+3;52.8461199;32.6757629;26196;1887
Брянская обл, г. Фокино;36;Фокино;15216504000;15710000001;UTC+3;53.4554145;34.4159238;13874;1899
Респ Бурятия, Кабанский р-н, г. Бабушкин;4;Бабушкин;81224503000;81624103;UTC+8;51.7112755;105.8673219;4542;1760
Респ Бурятия, г. Гусиноозерск;4;Гусиноозерск;81248501000;81648101001;UTC+8;51.2865048;106.5230319;23280;1939
