address;region;city;okato;oktmo;timezone;geo_lat;geo_lon;population;foundation_year
Респ Адыгея, г Адыгейск;Адыгея;Адыгейск;79403000000;79703000001;UTC+3;44.878414;39.190289;12689;1969
г Майкоп;Адыгея;Майкоп;79401000000;79701000001;UTC+3;44.6098268;40.1006606;144055;1857
г Горно-Алтайск;Алтай;Горно-Алтайск;84401000000;84701000;UTC+7;51.9581028;85.9603235;62861;1830
Алтайский край, г Алейск;Алтайский;Алейск;1403000000;1703000;UTC+7;52.4922513;82.7793606;28528;1913
г Барнаул;Алтайский;Барнаул;1401000000;1701000;UTC+7;53.3479968;83.7798064;635585;1730
Алтайский край, г Белокуриха;Алтайский;Белокуриха;1404000000;1704000001;UTC+7;51.996152;84.9839604;15072;1846
Алтайский край, г Бийск;Алтайский;Бийск;1405000000;1705000001;UTC+7;52.5393864;85.2138453;203826;1709
Алтайский край, г Горняк;Алтайский;Горняк;1225501000;1625101;UTC+7;50.9979622;81.4643358;13040;1942
Алтайский край, г Заринск;Алтайский;Заринск;1406000000;1706000001;UTC+7;53.7063476;84.9315081;47035;1748
Алтайский край, г Змеиногорск;Алтайский;Змеиногорск;1214501000;1614101;UTC+7;51.1581094;82.1872547;10569;1736
Алтайский край, г Камень-на-Оби;Алтайский;Камень-на-Оби;1216501000;1616101001;UTC+7;53.7913974;81.3545053;41787;1751
Алтайский край, г Новоалтайск;Алтайский;Новоалтайск;1413000000;1713000001;UTC+7;53.4119759;83.9311069;73134;1736
Алтайский край, г Рубцовск;Алтайский;Рубцовск;1416000000;1716000;UTC+7;51.5012067;81.2078695;146386;1892
Алтайский край, г Славгород;Алтайский;Славгород;1419000000;1719000001;UTC+7;52.999463;78.6459232;30370;1910
Алтайский край, г Яровое;Алтайский;Яровое;1430000000;1730000;UTC+7;52.9252146;78.5729775;18085;1943
Амурская обл, г Белогорск;Амурская;Белогорск;10410000000;10710000;UTC+9;50.9213415;128.4739471;68220;1860
г Благовещенск;Амурская;Благовещенск;10401000000;10701000;UTC+9;50.290659;127.527198;214397;1856
Амурская обл, г Завитинск;Амурская;Завитинск;10221501000;10621101;UTC+9;50.1064111;129.4391813;11481;1906
Амурская обл, г Зея;Амурская;Зея;10412000000;10712000;UTC+9;53.7340088;127.265787;25042;1879
Амурская обл, г Райчихинск;Амурская;Райчихинск;10420000000;10720000;UTC+9;49.7941615;129.4112492;20499;1932
Амурская обл, г Свободный;Амурская;Свободный;10430000000;10730000;UTC+9;51.3614103;128.1219729;58594;1912
Амурская обл, г Сковородино;Амурская;Сковородино;10249501000;10649101;UTC+9;53.9871095;123.9437205;9561;1908
Амурская обл, г Тында;Амурская;Тында;10432000000;10732000;UTC+9;55.1546441;124.7468904;35574;1907
Амурская обл, г Циолковский;Амурская;Циолковский;10545000000;10770000001;UTC+9;51.762481;128.1219846;6208;1961
Амурская обл, г Шимановск;Амурская;Шимановск;10440000000;10740000;UTC+9;52.0051886;127.7005458;19815;1910
г Архангельск;Архангельская;Архангельск;11401000000;11701000;UTC+3;64.5394289;40.5169606;348716;1584
Архангельская обл, г Вельск;Архангельская;Вельск;11205501000;11605101001;UTC+3;61.066;42.1032789;23885;1137
Архангельская обл, г Каргополь;Архангельская;Каргополь;11218501000;11618101001;UTC+3;61.5009724;38.9636966;10148;1447
Архангельская обл, г Коряжма;Архангельская;Коряжма;11408000000;11708000001;UTC+3;61.2885948;47.1003015;39629;1535
Архангельская обл, г Котлас;Архангельская;Котлас;11410000000;11710000001;UTC+3;61.2528972;46.633242;60562;1617
Архангельская обл, г Мезень;Архангельская;Мезень;11242501000;11642101001;UTC+3;65.8398078;44.2532273;3599;XVI век
Архангельская обл, г Мирный;Архангельская;Мирный;11525000000;11725000001;UTC+3;62.7645265;40.3360076;30259;1957
Архангельская обл, г Новодвинск;Архангельская;Новодвинск;11415000000;11715000001;UTC+3;64.4136851;40.8208143;40612;1936
Архангельская обл, г Няндома;Архангельская;Няндома;11244501000;11644101001;UTC+3;61.6654674;40.2062947;22354;1898
Архангельская обл, г Онега;Архангельская;Онега;11420000000;11646101001;UTC+3;63.9162928;38.0805031;21359;1137
Архангельская обл, г Северодвинск;Архангельская;Северодвинск;11430000000;11730000001;UTC+3;64.5625385;39.8180934;192265;1936
